№;Тип установи;Код за ЄДРПОУ;Повне найменування;Повна адреса;ПІБ керівника;Дата видачі
13;Фінансова компанія;41232823;"Товариство з обмеженою відповідальністю ""АМО КРЕДИТ""";01032 КИЇВ, КИЇВ 32, Жилянська, буд.59, оф.(кв.)260;Селін  Олексій Олександрович;09.06.2017
14;Фінансова компанія;40996653;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ФІНАНСОВА КОМПАНІЯ «ФОНТЕ»;04060 КИЇВ, КИЇВ 60,  Ольжича, буд.27/22, оф.(кв.)4;СКРИННИК ЮРІЙ  ГРИГОРОВИЧ;06.06.2017
15;Фінансова компанія;40996454;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ФІНРОЯЛ""";01054 КИЇВ, КИЇВ 54, Олеся Гончара, буд.52, оф.(кв.)11;БАКАНОВ ДМИТРО ОЛЕКСАНДРОВИЧ;06.06.2017
16;Фінансова компанія;41262114;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЛАЙМ КЕШ""";57214 МИКОЛАЇВСЬКА ОБЛАСТЬ, ЖОВТНЕВИЙ РАЙОН МІШКОВО-ПОГОРІЛОВЕ, МИРУ, буд.29, оф.(кв.)7;Замазєєва Ганна Володимирівна;01.06.2017
17;Фінансова компанія;41153878;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""УКРФІНСТАНДАРТ""";04053 КИЇВ, КИЇВ 53, АРТЕМА, буд.37-41;СИСИН  ВІТАЛІЙ ВІКТОРОВИЧ;01.06.2017
18;Фінансова компанія;41264766;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ВЕСТА""";04208 КИЇВ, КИЇВ 208, проспект Правди, буд.66 А, оф.(кв.)2;Кононенко Єгор Олегович;30.05.2017
19;Фінансова компанія;41261901;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЛАЙМ МАНІ""";57214 МИКОЛАЇВСЬКА ОБЛАСТЬ, ЖОВТНЕВИЙ РАЙОН МІШКОВО-ПОГОРІЛОВЕ, МИРУ, буд.29, оф.(кв.)1;Замазєєва Ганна Володимирівна;30.05.2017
20;Фінансова компанія;40996391;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""МАРЕ""";03022 КИЇВ, КИЇВ 22,  Провулок Василя Жуковського, буд.15, корп.КОРПУС3, оф.(кв.)-;БОГУН ВІКТОРІЯ МИКОЛАЇВНА;30.05.2017
21;Фінансова компанія;39433342;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""РЕНДОЛФ КАПІТАЛ""";03110 КИЇВ, КИЇВ 110, СОЛОМ'ЯНСЬКА, буд.3, корп.-, оф.(кв.)-;ЄЛЬЧИК МАКСИМ МИКОЛАЙОВИЧ;30.05.2017
22;Фінансова компанія;39246161;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ГРАНАДА КАПІТАЛ""";03037 КИЇВ, КИЇВ 37, МАКСИМА КРИВОНОСА, буд.2 А, корп.-, оф.(кв.)-;ЄЛЬЧИК МАКСИМ МИКОЛАЙОВИЧ;30.05.2017
23;Фінансова компанія;41082100;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""КРЕДІКОМ ГРУП""";04208 КИЇВ, КИЇВ 208, проспект Порика Василя, буд.8А, корп.-, оф.(кв.)-;Панчук Дмитро Анатолійович;23.05.2017
24;Фінансова компанія;41240530;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ЕЛ.ЕН.ГРУП""";01001 КИЇВ, КИЇВ 1, Грушевського, буд.10;СЕРДЮК ЛЕСЯ ЮРІЇВНА;18.05.2017
25;Фінансова компанія;41146462;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ФІНАНС ІННОВАЦІЯ""";07403 КИЇВСЬКА ОБЛАСТЬ, БРОВАРСЬКИЙ РАЙОН БРОВАРИ, ВОЛОДИМИРА ВЕЛИКОГО, буд.2, корп.-, оф.(кв.)-;Картамишев Сергій Олександрович;18.05.2017
26;Фінансова компанія;41145893;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ФІНАНСОВА КОМПАНІЯ «ТРАНС ФІНАНС»;08703 КИЇВСЬКА ОБЛАСТЬ, ОБУХІВСЬКИЙ РАЙОН ОБУХІВ, Каштанова, буд.6, корп.-, оф.(кв.)-;Куліда Ольга Валеріївна;18.05.2017
27;Фінансова компанія;41112695;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ФІНАНСОВА КОМПАНІЯ «РІЧМОНД»;01001 КИЇВ, КИЇВ 1, Грушевського, буд.10, корп.-, оф.(кв.)212;Назаркевич  Сергій  Петрович ;18.05.2017
28;Фінансова компанія;41112255;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ФІНАНСОВА КОМПАНІЯ «СІТІ ГОЛД»;04050 КИЇВ, КИЇВ 50, Січових Стрільців, буд.77, корп.-, оф.(кв.)212;Ільчук  Дмитро  Олександрович;18.05.2017
29;Фінансова компанія;41112056;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ФІНАНСОВА КОМПАНІЯ «ФЕНІКС ПЛЮС»;01133 КИЇВ, КИЇВ 133, Мечникова, буд.14/1, корп.-, оф.(кв.)-;Коптегін  Артем  В’ячеславович;18.05.2017
30;Фінансова компанія;41228141;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ІНВЕСТСТАНДАРТ""";03058 КИЇВ, КИЇВ 58, ЛЕБЕДЄВА-КУМАЧА, буд.5, оф.(кв.)нежиле прим. 134;Чукін Дмитро Андрійович;16.05.2017
31;Фінансова компанія;40938701;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФАКТОРИНГ-С""";01133 КИЇВ, КИЇВ 133, БУЛЬВАР ЛЕСІ УКРАЇНКИ, буд.21;КРАВЦОВ СЕРГІЙ СЕРГІЙОВИЧ;11.05.2017
32;Фінансова компанія;41159052;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АВІС ФІНАНС""";"01054 КИЇВ, КИЇВ 54, Дмитрівська, буд.46 ""А""";Демченко Олена Володимирівна;27.04.2017
33;Фінансова компанія;41159031;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬІНСТЮ ""ТРАСТ ФІНКОМ""";"01054 КИЇВ, КИЇВ 54, Дмитрівська, буд.46 ""А""";Демченко  Олена Володимирівна;27.04.2017
34;Фінансова компанія;41159005;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""СТАРТ ФІНАНС""";"01054 КИЇВ, КИЇВ 54, Дмитрівська, буд.46 ""А""";Леоненко Олександр  Петрович;27.04.2017
35;Фінансова компанія;41158846;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПРОФІТ ФІНКОМ""";"01054 КИЇВ, КИЇВ 54, Дмитрівська, буд.46 ""А""";Демченко  Олена Володимирівна;27.04.2017
36;Фінансова компанія;40417111;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ФІН-АЙ""";02068 КИЇВ, КИІВ 68, Харківське Шосе, буд.144, корп.літ А;Спірочкін  Олександр Костянтинович;27.04.2017
37;Фінансова компанія;40335956;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ПОРТОФІНО""";01042 КИЇВ, КИЇВ 42, Чигоріна, буд.49, корп.-, оф.(кв.)6;Тимощук Олександр Вікторович;27.04.2017
38;Фінансова компанія;41123733;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""КЕШАП""";01021 КИЇВ, КИЇВ 21, КЛОВСЬКИЙ УЗВІЗ, буд.13, оф.(кв.)9;Ковальський Тарас Олегович;25.04.2017
39;Фінансова компанія;40660160;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""МІСТЕР МАНІ""";04073 КИЇВ, КИЇВ 73, Сирецька, буд.40, оф.(кв.)78;Яровий Сергій Михайлович;25.04.2017
40;Фінансова компанія;41171897;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ФІНАНСОВА КОМПАНІЯ «ФІНТАКТ»;"01042 КИЇВ, КИЇВ 42, Іоанна Павла II, буд.4/6, корп.""В""";Похилько Микола Васильович;20.04.2017
41;Фінансова компанія;40938649;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""СІЛЬВЕР ПЕЙ""";01133 КИЇВ, КИЇВ 133, БУЛЬВАР ЛЕСІ УКРАЇНКИ, буд.21, оф.(кв.)201;Корницька  Олена Олександрівна;20.04.2017
42;Фінансова компанія;40349906;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""КРІСТАЛ""";01601 КИЇВ, КИЇВ 601, Печерський узвіз, буд.5, корп.-, оф.(кв.)110;Лимаренко Володимир Альбертович;13.04.2017
43;Фінансова компанія;41154211;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ІНТЕРСВІТ""";79049 ЛЬВІВСЬКА ОБЛАСТЬ, ЛЬВІВ, МІСТО ЛЬВІВ, Драгана, буд.9;Зав'ялич Юрій Степанович;11.04.2017
44;Фінансова компанія;41084239;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""БІЗНЕС ПОЗИКА""";01133 КИЇВ, КИЇВ 133, Бульвар Лесі Українки, буд.26, оф.(кв.)офіс 624;Шеремет  Юрій Григорович;06.04.2017
45;Ломбард;41112171;"Повне товариство ""Ломбард Заставне товариство ""Діамантовий дім"" ТОВ ""Монета"" і компанії""";03039 КИЇВ, КИЇВ 39, Голосіївська, буд.7, корп.2 (літера А), оф.(кв.)2-2;Свентицький Олег Георгійович;04.04.2017
46;Ломбард;41090347;"ПОВНЕ ТОВАРИСТВО ""ЛОМБАРД ""КРЕДИТНИЙ ДВІР"" ТОВ ""ФОРТУНА-2014"" І  ТОВ ""РІЛАІНС""";01133 КИЇВ, КИЇВ 133, ГЕНЕРАЛА АЛМАЗОВА, буд.18/7, оф.(кв.)81;ФЕДЧУН ВАДИМ МИКОЛАЙОВИЧ;04.04.2017
47;Фінансова компанія;41184403;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АІА ФІНАНС ГРУП""";01001 КИЇВ, КИЇВ 1, Михайлівська, буд.15/1 ЛІТ. Б;Гуламі Рональдс -;30.03.2017
48;Ломбард;41081620;"ПОВНЕ ТОВАРИСТВО ""ЛОМБАРД ""ІЗІЛОН"" ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ІЗІЛОН"" І КОМПАНІЯ""";79066 ЛЬВІВСЬКА ОБЛАСТЬ, ЛЬВІВ, МІСТО ЛЬВІВ, Сихівська, буд.28, корп.-, оф.(кв.)-;Сахринь Оксана Іванівна;30.03.2017
49;Фінансова компанія;41042141;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ІНВЕНТ ФІНАНС""";01054 КИЇВ, КИЇВ 54, Гоголівська, буд.22/24, оф.(кв.)605;Строчинський Олександр Олександрович;30.03.2017
50;Фінансова компанія;39544044;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ КАПІТАЛ ФІНАНС""";"01001 КИЇВ, КИЇВ 1,  Мала Житомирська, буд.16/3, корп.Н.П., оф.(кв.)з №1 по №8 в ЛТ.""А""";Діброва Віктор Валерійович;30.03.2017
51;Фінансова компанія;40939223;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ГУДВІЛ ПРАЙМ""";03150 КИЇВ, КИЇВ 150, АНРІ БАРБЮСА, буд.5-Б, оф.(кв.)11;Гордейчук Віталій Вікторович;28.03.2017
52;Фінансова компанія;40795263;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПЕРЕВАГА-ФІНАНС""";01032 КИЇВ, КИЇВ 32, САКСАГАНСЬКОГО, буд.119;Кальченко Роман Вікторович;28.03.2017
53;Фінансова компанія;40795059;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ВАШ ПАРТНЕР""";01032 КИЇВ, КИЇВ 32, Саксаганського, буд.119;Кальченко Роман Вікторович;28.03.2017
54;Ломбард;41109499;"ПОВНЕ ТОВАРИСТВО ""ЄВРОЛОМБАРД"" МОХНАТКО С.О. І КОМПАНІЯ""";71630 ЗАПОРІЗЬКА ОБЛАСТЬ, ВАСИЛІВСЬКИЙ РАЙОН ДНІПРОРУДНЕ, Набережна, буд.4, оф.(кв.)5;Мохнатко Сергій Олександрович;21.03.2017
55;Фінансова компанія;41053106;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЦЕНТРОКРЕДИТ""";04073 КИЇВ, КИЇВ 73, ПРОСПЕКТ СТЕПАНА БАНДЕРИ, буд.6, оф.(кв.)офіс 904;Смірнов Олексій Володимирович;21.03.2017
56;Фінансова компанія;40967769;"Товариство з обмеженою відповідальністю ""Фінансова компанія ""Глобал Файненс""";04655 КИЇВ, КИЇВ 655, проспект Степана Бандери, буд.30;Лисюк Сергій Васильович;21.03.2017
57;Фінансова компанія;40915988;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНДОПОМОГА""";04060 КИЇВ, КИЇВ 60, Щусєва, буд.36, оф.(кв.)19;Левченко Олександр Анатолійович;02.03.2017
58;Фінансова компанія;41078230;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «АВЕНТУС УКРАЇНА»;03035 КИЇВ, КИЇВ 35, Сурикова, буд.3 А;Довгаль Володимир Вікторович;28.02.2017
59;Ломбард;41031496;"ПОВНЕ ТОВАРИСТВО ""ЛОМБАРД ""МІЛАН"" ОСІПОВА НАТАЛЯ ВАСИЛІВНА ТА КОМПАНІЯ""";65029 ОДЕСЬКА ОБЛАСТЬ, ОДЕСА, МІСТО ОДЕСА, Князівська, буд.30;Осіпов  Анатолій Вікторович;14.02.2017
60;Фінансова компанія;40957923;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ІЗОКВАНТА ПЛЮС""";01054 КИЇВ, КИЇВ 54, Ярославів Вал, буд.13/2-Б;Татарін Юрій Іванович;14.02.2017
61;Фінансова компанія;40997279;"Товариство з обмеженою відповідальністю ""Фінансова компанія ""Фінрайт""";61183 ХАРКІВСЬКА ОБЛАСТЬ, ХАРКІВ, МІСТО ХАРКІВ, Дружби народів, буд.228Б;Погорєлов Юрій Анатолійович;26.01.2017
62;Фінансова компанія;40992334;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ЄВРОАЛЬТЕРНАТИВА""";01030 КИЇВ, КИЇВ 30, Ярославів Вал/Івана Франка, буд.11/1;Чукін Дмитро Андрійович;26.01.2017
63;Фінансова компанія;40987193;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ГЛОРІЯ""";65039 ОДЕСЬКА ОБЛАСТЬ, ОДЕСА, МІСТО ОДЕСА, ПРОСПЕКТ ГАГАРІНА, буд.12А, корп.-, оф.(кв.)-;Горбатенко Катерина Сергіївна;26.01.2017
64;Фінансова компанія;40966896;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""УКРАЇНСЬКІ ФІНАНСОВІ ОПЕРАЦІЇ""";03150 КИЇВ, КИЇВ 150, Загородня, буд.15, оф.(кв.)офіс 313;Роніс Інна Володимирівна;26.01.2017
65;Ломбард;40096133;"ПОВНЕ ТОВАРИСТВО ""ЛОМБАРД ""ДОБРІ ТРАДИЦІЇ"" ТОВ ""МІЙ КАПІТАЛ"" ТА ТОВ ""ГАРАНТІЯ УСПІХУ""";01001 КИЇВ, КИЇВ 1, Мала Житомирська, буд.16/3, корп.нежиле приміщення, оф.(кв.)№1 по №8 В ЛІТЕРА А;Діброва  Віктор  Валерійович;26.01.2017
66;Фінансова компанія;40986954;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ЕМ ЕМ ДЖИ""";03148 КИЇВ, КИЇВ 148, Курінного Петра, буд.2 А, корп.-, оф.(кв.)4;Пінаєв Сергій Вікторович;24.01.2017
67;Фінансова компанія;40986844;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""БАСТІОН""";02096 КИЇВ, КИЇВ 96, Сімферопольська, буд.13 А, корп.-, оф.(кв.)121;Здовбицький Іван Іванович;24.01.2017
68;Фінансова компанія;40546191;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ФІНАНСОВА КОМПАНІЯ «ФІНСОЛЕ»;08105 КИЇВСЬКА ОБЛАСТЬ, КИЄВО-СВЯТОШИНСЬКИЙ РАЙОН ГОРЕНКА, Садова, буд.45;СВЕРДЛОВ  ОЛЕКСАНДР  ВОЛОДИМИРОВИЧ;24.01.2017
69;Фінансова компанія;40988333;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ГЛОБАЛ ФАКТОР""";04119 КИЇВ, КИЇВ 119, Зоологiчна, буд.4а;Шандра Сергiй Володимирович;19.01.2017
70;Фінансова компанія;40932411;" ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФК ЄВРОКРЕДИТ""";01032 КИЇВ, КИЇВ 32, Саксаганського, буд.120, оф.(кв.)17;Байрачний Олександр Леонідович;19.01.2017
71;Фінансова компанія;40918342;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""РЕД ПОЙНТ ФІНАНС""";03150 КИЇВ, КИЇВ 150, АНРІ БАРБЮСА, буд.5В, оф.(кв.)146;Данілов Денис Олексійович;19.01.2017
72;Фінансова компанія;40894130;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""АРС-КАПІТАЛ""";03179 КИЇВ, КИЇВ 179, БРЕСТ-ЛИТОВСЬКЕ ШОСЕ, буд.8А;Рубанов Сергій Михайлович;19.01.2017
73;Фінансова компанія;40890761;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ТОККАТА""";03028 КИЇВ, КИЇВ 28, проспект Науки, буд.42/1, корп.10, оф.(кв.)17;Скуратовський Андрій Леонідович;19.01.2017
74;Фінансова компанія;40889885;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""АМБЕР""";01042 КИЇВ, КИЇВ 42, Чигоріна, буд.49, приміщення 82, корп.-, оф.(кв.)10;Дорошенко Олена Володимирівна;19.01.2017
75;Фінансова компанія;40981689;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""КОЗАКОВ І ПАРТНЕРИ""";79008 ЛЬВІВСЬКА ОБЛАСТЬ, ЛЬВІВ, МІСТО ЛЬВІВ, Театральна, буд.24;Козаков Лев Вікторович;17.01.2017
76;Фінансова компанія;40920448;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ФАСТЛЕЙН""";04128 КИЇВ, КИЇВ 128, Стеценка, буд.19/91, оф.(кв.)18;Савчук Артем  Анатолійович;17.01.2017
77;Фінансова компанія;40920385;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ФІНФЕСТ""";04116 КИЇВ, КИЇВ 116, ВАНДИ ВАСИЛЕВСЬКОЇ, буд.13, корп.1, ЛІТЕРА А;Савчук Артем  Анатолійович;17.01.2017
78;Фінансова компанія;40888017;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ЖЕНЕВА""";04070 КИЇВ, КИЇВ 70, Почайнинська, буд.70, корп.-, оф.(кв.)1;Супрун Андрій Володимирович;17.01.2017
79;Фінансова компанія;40884515;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ІНТЕРЕС ГРУП""";79043 ЛЬВІВСЬКА ОБЛАСТЬ, ЛЬВІВ, МІСТО ЛЬВІВ, Гетьмана Мазепи, буд.9, корп.А, оф.(кв.)93;Борис  Андрій  Богданович;17.01.2017
80;Фінансова компанія;41030047;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""АМПІР КАПІТАЛ""";01030 КИЇВ, КИЇВ 30, Івана Франка, буд.22-24, літ. А, оф.(кв.)приміщення №31;Шумавцов Валентин Михайлович;12.01.2017
